Sequence_ID,Frame,Pose,L_Shoulder_Angle,R_Shoulder_Angle,L_Elbow_Angle,R_Elbow_Angle,L_Hip_Angle,R_Hip_Angle,L_Knee_Angle,R_Knee_Angle
0955,1,Front/Back,125.86,159.2,154.68,111.13,151.16,128.12,155.95,148.92
0955,2,Front/Back,122.73,153.46,140.88,129.82,151.07,130.21,155.81,156.75
0955,3,Front/Back,122.73,153.46,151.65,149.34,151.07,130.21,155.81,156.75
0955,4,Front/Back,141.82,150.75,162.14,180.0,159.67,134.56,155.81,163.82
0955,5,Front/Back,134.95,148.47,158.48,180.0,156.48,148.47,155.84,180.0
0955,6,Front/Back,120.25,148.47,149.09,180.0,151.16,132.05,159.21,163.58
0955,7,Front/Back,114.56,144.53,145.78,180.0,148.78,144.53,155.95,180.0
0955,8,Front/Back,119.52,151.3,145.78,180.0,153.74,151.3,159.21,180.0
0955,9,Front/Back,145.78,159.59,145.78,180.0,162.64,148.45,141.86,150.21
0955,10,Front/Back,145.78,175.82,145.78,180.0,158.8,142.37,126.96,146.55
0955,11,Front/Back,145.78,180.0,145.78,180.0,158.67,140.53,122.15,128.04
0955,12,Front/Back,152.77,180.0,152.77,180.0,158.67,136.92,120.11,136.92
0955,13,Front/Back,162.14,180.0,125.91,180.0,158.67,136.84,116.27,136.84
0955,14,Front/Back,180.0,180.0,137.63,180.0,145.15,138.62,106.59,138.62
0955,15,Front/Back,180.0,180.0,133.62,149.34,152.63,138.62,125.69,138.62
0955,16,Front/Back,168.54,162.36,128.82,180.0,141.16,122.81,122.97,140.45
0955,17,Front/Back,180.0,159.59,137.63,180.0,158.67,143.04,106.24,127.62
0955,18,Front/Back,179.99,156.52,149.48,180.0,149.89,144.86,109.36,138.21
0955,19,Front/Back,180.0,151.3,152.75,180.0,162.5,151.3,121.97,153.11
0955,20,Front/Back,130.84,149.34,162.14,180.0,148.7,149.34,150.34,180.0
0955,21,Front/Back,127.1,152.08,160.63,180.0,146.47,152.08,139.5,161.08
0955,22,Front/Back,115.11,154.62,152.77,180.0,142.34,154.61,137.63,149.91
0955,23,Front/Back,124.41,160.06,155.74,180.0,148.67,148.34,141.54,141.45
0955,24,Front/Back,145.1,168.52,154.69,180.0,159.64,168.51,155.95,156.82
0955,25,Front/Back,179.98,179.98,179.97,179.96,179.98,179.98,179.98,179.98
0955,26,Front/Back,180.0,166.83,180.0,135.52,180.0,180.0,139.59,153.16
0955,27,Front/Back,180.0,163.79,180.0,137.23,180.0,179.99,135.81,147.1
