sequence_id,frame_num,viewpoint,Head_x,Head_y,L_Sho_x,L_Sho_y,R_Sho_x,R_Sho_y,L_Elb_x,L_Elb_y,R_Elb_x,R_Elb_y,L_Wri_x,L_Wri_y,R_Wri_x,R_Wri_y,L_Hip_x,L_Hip_y,R_Hip_x,R_Hip_y,L_Kne_x,L_Kne_y,R_Kne_x,R_Kne_y,L_Ank_x,L_Ank_y,R_Ank_x,R_Ank_y
0481,0,back,137.005,99.579,145.693,127.649,99.579,119.629,151.708,161.064,80.198,145.025,148.366,195.149,96.906,87.55,133.663,185.792,88.218,181.114,128.317,240.594,101.584,237.252,112.946,241.262,100.248,242.599
0481,1,back,138.342,101.584,146.361,128.985,100.916,120.297,151.708,162.401,80.866,147.698,149.703,197.153,98.243,89.554,132.995,185.124,88.886,181.114,128.317,239.257,102.252,235.248,114.282,243.267,101.584,244.604
0481,2,back,139.678,103.589,147.03,129.653,102.921,120.965,152.376,164.406,81.535,149.703,151.04,199.158,99.579,91.559,133.663,185.124,89.554,181.782,128.317,238.589,104.926,239.926,115.619,245.272,102.921,246.609
0481,3,back,141.015,106.262,147.698,130.99,109.604,122.97,154.381,167.079,82.203,152.376,152.376,201.832,100.916,94.233,133.663,184.455,90.891,182.45,128.317,237.252,106.262,238.589,116.955,247.946,104.257,249.282
0481,4,back,142.351,108.267,148.366,131.658,110.941,124.307,155.05,169.084,82.871,155.05,153.713,203.837,102.252,96.238,133.663,184.455,92.228,183.119,128.985,239.257,107.599,237.252,118.292,249.95,105.594,251.287
0481,5,back,143.688,110.272,149.703,132.995,112.946,126.312,154.381,169.752,83.54,158.391,155.05,205.842,103.589,98.243,132.995,190.47,97.574,183.787,128.985,237.921,108.936,236.584,119.629,251.955,106.931,253.292
0481,6,back,145.025,111.609,149.703,134.332,114.95,126.312,155.718,173.762,86.213,157.723,156.386,207.178,104.926,99.579,133.663,190.47,97.574,181.782,128.985,234.579,108.936,233.243,120.965,253.292,108.267,254.629
0481,7,back,147.03,113.614,150.371,136.337,116.955,126.98,155.718,175.767,87.55,157.054,158.391,209.183,106.931,101.584,132.995,181.782,98.243,179.777,129.653,231.238,109.604,231.238,122.97,255.297,110.272,256.634
0481,8,back,148.366,115.619,151.04,137.673,118.96,126.98,155.05,177.104,88.886,157.054,159.728,211.188,108.267,103.589,132.327,179.109,98.911,177.772,128.985,227.896,109.604,228.564,124.307,257.302,111.609,258.639
0481,9,back,149.703,116.955,151.708,139.678,120.965,127.649,155.05,179.109,89.554,159.059,161.064,212.525,109.604,104.926,131.658,176.436,99.579,175.767,128.985,225.891,108.936,220.545,125.644,258.639,112.946,259.975
0481,10,back,151.708,118.96,153.045,141.683,122.97,128.317,155.05,181.782,94.233,154.381,160.396,215.198,111.609,106.931,130.99,174.431,100.248,174.431,129.653,223.886,109.604,218.54,127.649,260.644,114.95,261.98
0481,11,back,153.045,118.96,154.381,141.015,124.307,127.649,153.713,177.772,95.569,149.035,156.386,208.515,112.946,106.931,132.327,172.426,100.248,173.094,131.658,219.876,110.272,217.203,130.322,257.302,115.619,261.98
0481,12,back,155.05,118.96,155.718,139.678,126.312,127.649,152.376,167.748,96.906,144.356,155.551,197.571,114.95,106.931,134.332,169.752,100.916,172.426,134.332,216.535,110.941,215.866,132.995,253.292,116.287,261.98
0481,13,back,156.386,119.629,157.723,139.01,128.317,127.649,151.708,162.401,98.243,139.01,154.047,187.296,116.287,107.599,135.0,169.084,101.584,171.089,139.01,213.861,111.609,214.53,135.668,249.95,115.619,261.98
0481,14,back,159.059,120.297,159.059,139.01,130.322,127.649,151.04,157.054,99.579,134.332,153.88,177.02,118.96,108.267,135.668,168.416,102.252,170.421,141.683,210.52,112.277,213.193,139.01,245.941,115.619,261.98
0481,15,back,161.064,120.965,161.125,139.8,132.813,128.074,151.04,152.376,104.926,131.658,153.045,166.745,120.965,108.936,137.005,168.416,102.921,169.752,144.356,208.515,112.946,212.525,141.683,242.599,114.282,260.644
0481,16,back,161.733,120.297,161.854,139.253,133.967,127.162,151.708,147.698,104.926,127.649,150.873,155.133,121.634,108.267,137.673,166.411,104.257,167.748,144.356,205.842,114.282,209.183,141.683,239.926,115.619,252.624
