Sequence_ID,Frame,Pose,L_Shoulder_Angle,R_Shoulder_Angle,L_Elbow_Angle,R_Elbow_Angle,L_Hip_Angle,R_Hip_Angle,L_Knee_Angle,R_Knee_Angle
1149,1,Front/Back,151.75,141.6,180.0,158.42,151.75,163.17,180.0,180.0
1149,2,Front/Back,156.2,158.29,179.99,180.0,156.22,158.29,175.41,180.0
1149,3,Front/Back,143.68,158.29,166.19,180.0,157.49,158.29,163.23,180.0
1149,4,Front/Back,141.09,142.98,163.6,158.19,157.49,164.79,164.97,180.0
1149,5,Front/Back,140.61,140.47,150.86,153.53,158.85,144.18,140.61,157.23
1149,6,Front/Back,139.31,138.07,149.02,150.99,158.85,140.77,142.02,153.69
1149,7,Front/Back,134.0,135.88,144.27,145.79,141.98,156.01,147.6,171.0
1149,8,Front/Back,137.8,129.74,149.2,144.55,136.02,160.1,145.2,180.0
1149,9,Front/Back,138.49,138.94,150.11,163.14,132.26,155.78,156.0,179.99
1149,10,Front/Back,138.76,139.77,151.01,163.97,127.53,137.25,151.23,161.45
1149,11,Front/Back,143.96,140.03,156.14,152.08,124.7,132.42,147.09,155.37
1149,12,Front/Back,156.37,157.01,165.96,170.39,130.69,130.66,138.84,153.65
1149,13,Front/Back,156.37,157.05,164.66,165.47,130.69,132.43,143.5,155.38
1149,14,Front/Back,155.26,145.3,164.22,148.44,127.99,132.33,141.43,153.65
1149,15,Front/Back,155.26,158.68,162.56,154.03,127.99,132.37,152.73,153.69
1149,16,Front/Back,155.34,157.45,160.55,150.05,125.17,131.1,139.01,153.65
1149,17,Front/Back,155.26,156.18,156.78,148.07,116.46,128.2,141.2,152.02
1149,18,Front/Back,155.26,156.18,153.58,144.41,115.42,126.69,140.17,150.51
1149,19,Front/Back,155.26,157.57,150.56,144.41,118.95,129.63,143.7,152.06
1149,20,Front/Back,156.44,150.32,147.81,144.41,125.21,134.26,148.77,163.94
1149,21,Front/Back,154.5,151.19,141.13,145.29,123.27,130.42,148.77,159.23
1149,22,Front/Back,157.61,151.19,140.73,145.29,126.37,135.13,148.77,163.94
1149,23,Front/Back,158.92,147.87,146.81,151.78,127.68,138.59,148.77,170.73
1149,24,Front/Back,154.12,155.85,146.81,154.43,121.56,128.15,147.43,152.3
1149,25,Front/Back,154.12,155.85,148.47,156.91,124.28,131.42,150.15,155.57
1149,26,Front/Back,155.34,155.79,150.69,159.67,137.39,128.23,162.05,152.43
1149,27,Front/Back,153.04,155.85,153.07,162.86,135.09,125.23,153.92,149.38
1149,28,Front/Back,138.58,155.85,141.21,166.06,140.28,143.55,148.27,167.7
1149,29,Front/Back,142.94,155.85,144.7,180.0,156.31,155.85,160.15,180.0
1149,30,Front/Back,130.13,141.08,139.1,163.98,151.87,157.1,157.11,180.0
1149,31,Front/Back,130.42,133.61,136.72,153.7,142.0,159.91,117.47,180.0
1149,32,Front/Back,133.78,131.62,138.53,150.19,140.8,161.43,118.13,180.0
1149,33,Front/Back,133.12,129.55,142.08,149.64,138.64,159.91,149.07,180.0
1149,34,Front/Back,139.28,131.75,146.91,151.91,138.09,135.67,141.83,155.83
1149,35,Front/Back,151.24,139.27,157.56,155.28,148.82,135.53,145.21,155.69
1149,36,Front/Back,158.7,166.83,176.98,158.09,140.75,140.67,140.0,153.84
1149,37,Front/Back,161.58,152.61,179.99,163.34,137.69,146.7,151.52,147.0
1149,38,Front/Back,169.35,166.36,179.97,166.36,147.22,166.97,157.86,159.87
1149,39,Front/Back,179.98,179.98,179.97,179.97,179.98,179.98,179.97,179.97
1150,1,Side,158.69,155.07,153.7,158.89,174.76,148.33,174.83,158.99
1150,2,Side,155.22,153.59,152.2,158.59,175.16,150.04,174.34,160.0
1150,3,Side,152.51,156.28,153.05,161.45,178.35,150.33,176.16,160.64
1150,4,Side,148.48,154.71,148.46,161.08,179.93,151.78,177.2,161.59
1150,5,Side,144.9,155.66,146.68,164.52,178.96,153.04,177.61,162.22
1150,6,Side,142.0,155.66,145.72,166.21,177.14,153.67,178.59,162.86
1150,7,Side,131.44,149.87,138.53,163.76,167.31,157.61,173.83,165.35
1150,8,Side,122.17,143.2,131.43,160.78,159.95,162.55,167.51,168.57
1150,9,Side,110.71,135.7,121.83,156.8,150.7,167.71,160.29,172.25
1150,10,Side,101.02,128.96,114.39,154.51,142.09,174.05,152.78,177.26
1150,11,Side,91.05,116.06,108.83,144.21,134.08,178.96,146.87,179.53
1150,12,Side,80.18,106.06,96.64,134.82,140.43,175.72,151.91,179.69
1150,13,Side,68.76,95.84,85.16,126.79,149.52,172.62,159.77,179.91
1150,14,Side,55.01,77.47,71.72,109.08,155.63,168.43,165.01,177.2
1150,15,Side,43.54,58.03,58.85,90.25,160.76,164.77,168.75,175.37
1150,16,Side,37.35,42.3,49.46,76.67,177.03,160.38,179.36,172.02
1150,17,Side,36.19,37.91,46.58,71.76,178.46,163.79,177.38,176.27
1150,18,Side,31.28,34.18,44.95,67.0,170.15,165.55,177.33,177.32
1150,19,Side,30.59,31.53,42.97,63.37,171.06,163.27,178.72,179.17
1150,20,Side,29.12,28.88,41.5,60.06,171.72,161.4,180.0,179.06
1150,21,Side,27.19,25.63,39.5,56.86,175.87,159.63,172.74,176.93
1150,22,Side,33.4,31.81,45.62,63.87,172.06,160.93,179.27,177.7
1150,23,Side,40.54,39.61,53.89,73.31,166.31,164.77,170.65,179.8
1150,24,Side,50.85,52.42,62.54,87.69,169.71,167.02,169.45,178.53
1150,25,Side,59.15,54.99,71.12,90.18,166.14,165.15,164.64,176.74
1150,26,Side,68.22,61.11,81.95,96.43,162.37,165.51,162.63,174.11
1150,27,Side,74.53,75.64,87.82,110.33,159.26,168.0,160.22,174.97
1150,28,Side,81.37,88.11,96.33,122.03,151.52,170.97,154.15,177.02
1150,29,Side,88.2,98.43,103.44,131.01,147.45,172.27,150.35,176.51
1150,30,Side,94.74,106.49,110.23,138.22,144.08,172.71,147.23,175.23
1150,31,Side,105.2,111.99,121.43,143.59,141.66,174.57,144.79,176.99
