Sequence_ID,Frame,Pose,L_Shoulder_Angle,R_Shoulder_Angle,L_Elbow_Angle,R_Elbow_Angle,L_Hip_Angle,R_Hip_Angle,L_Knee_Angle,R_Knee_Angle
1348,1,Side,148.7,28.54,147.21,140.04,44.36,177.47,114.62,144.57
1348,2,Side,147.53,27.04,145.74,130.27,46.82,179.35,106.93,134.35
1348,3,Side,119.89,26.48,66.37,120.86,55.26,177.99,105.59,134.92
1348,4,Side,115.02,23.5,59.15,112.38,58.08,175.43,102.9,137.87
1348,5,Side,108.95,24.45,50.13,102.73,61.42,179.56,108.72,143.23
1348,6,Side,44.17,24.84,38.86,97.64,117.04,165.71,110.89,135.0
1348,7,Side,37.97,20.54,34.55,88.62,124.66,179.0,115.56,148.86
1348,8,Side,33.39,17.87,80.77,80.18,131.74,176.75,116.0,146.08
1348,9,Side,27.41,16.47,74.54,69.66,143.01,176.8,130.54,164.66
1348,10,Side,22.11,14.17,70.33,61.19,152.57,177.52,135.63,166.72
1348,11,Side,18.56,12.69,66.1,52.76,165.3,177.25,174.44,164.79
1348,12,Side,14.83,13.06,64.13,49.51,173.14,170.5,178.76,165.05
1348,13,Side,14.4,13.03,62.55,46.21,167.39,161.16,168.16,153.05
1348,14,Side,14.14,12.64,61.65,43.83,167.55,159.02,171.0,156.81
1348,15,Side,34.8,14.46,83.43,42.48,168.65,154.92,170.98,156.15
1348,16,Side,14.65,13.5,59.57,39.66,171.3,152.31,170.22,159.62
1348,17,Side,13.84,13.19,60.43,40.73,169.08,155.04,162.28,163.63
1348,18,Side,13.55,13.83,61.39,41.22,175.44,157.09,167.66,162.18
1348,19,Side,13.84,14.72,63.01,45.64,172.8,160.63,161.74,164.52
1348,20,Side,14.75,15.09,67.24,51.98,171.44,166.02,159.13,165.91
1348,21,Side,17.4,13.99,70.17,56.51,162.42,175.97,151.26,175.06
1348,22,Side,23.52,12.97,73.39,65.32,150.69,169.65,147.32,175.5
1348,23,Side,29.7,14.11,30.52,75.71,139.4,167.76,141.18,177.63
1348,24,Side,35.48,19.44,33.33,82.51,128.61,173.16,136.95,179.72
1348,25,Side,41.96,21.65,38.42,93.3,121.25,170.33,138.93,175.6
1348,26,Side,104.91,22.81,50.48,102.5,65.49,167.01,142.18,172.41
1348,27,Side,98.57,21.33,60.14,114.44,78.67,160.57,144.33,172.14
1348,28,Side,175.73,22.22,150.05,120.56,76.69,163.06,144.86,174.94
1348,29,Side,175.83,21.8,151.49,125.72,72.57,157.18,145.8,169.09
1348,30,Side,158.78,24.6,146.24,133.09,57.69,154.2,144.45,167.71
1349,1,Front/Back,180.0,180.0,180.0,180.0,124.21,135.27,124.21,135.27
1349,2,Front/Back,180.0,180.0,180.0,180.0,123.47,129.62,123.47,129.62
1349,3,Front/Back,180.0,180.0,180.0,180.0,122.06,129.05,99.84,129.05
1349,4,Front/Back,180.0,180.0,180.0,180.0,115.63,124.83,58.18,124.83
1349,5,Front/Back,180.0,180.0,180.0,180.0,114.95,124.98,74.5,124.98
1349,6,Front/Back,180.0,180.0,180.0,180.0,113.55,124.06,70.64,124.06
1349,7,Front/Back,180.0,180.0,180.0,180.0,113.5,124.04,68.54,124.04
1349,8,Front/Back,180.0,180.0,180.0,174.24,108.42,113.44,61.84,113.44
1349,9,Front/Back,180.0,180.0,180.0,180.0,114.05,116.9,66.26,116.9
1349,10,Front/Back,180.0,180.0,180.0,180.0,131.37,138.7,82.78,138.7
1349,11,Front/Back,180.0,180.0,178.41,180.0,141.05,174.02,92.08,174.02
1349,12,Front/Back,180.0,180.0,168.27,180.0,142.63,173.79,93.69,173.79
1349,13,Front/Back,180.0,165.28,166.12,150.86,144.27,173.65,95.78,173.65
1349,14,Front/Back,152.6,154.3,136.12,134.39,145.99,173.57,98.35,173.57
1349,15,Front/Back,150.26,148.51,135.4,131.48,147.78,173.57,101.42,173.57
1349,16,Front/Back,164.25,144.06,147.78,133.79,149.66,173.65,104.98,173.65
1349,17,Front/Back,154.87,143.03,140.99,143.03,151.66,173.79,109.08,173.79
1349,18,Front/Back,154.55,137.25,141.58,137.25,153.8,174.02,113.75,174.02
1349,19,Front/Back,152.95,144.28,139.98,144.27,156.12,174.34,119.07,174.34
1349,20,Front/Back,154.02,142.09,144.51,136.85,158.67,174.76,125.16,174.76
1349,21,Front/Back,152.86,142.8,146.83,130.34,161.55,175.31,132.26,175.31
1349,22,Front/Back,152.02,144.57,150.43,135.76,164.96,176.06,140.85,176.06
1349,23,Front/Back,151.7,145.5,141.1,145.5,169.38,177.13,152.22,177.13
1349,24,Front/Back,179.98,179.99,179.98,179.98,179.98,179.98,179.97,179.96
1349,25,Front/Back,180.0,138.05,174.32,161.11,144.74,144.35,144.74,166.5
1349,26,Front/Back,180.0,145.68,180.0,180.0,136.45,145.68,136.45,161.55
1349,27,Front/Back,180.0,147.55,180.0,180.0,128.27,120.91,128.27,131.64
1349,28,Front/Back,180.0,148.98,176.11,172.76,122.91,114.16,122.91,121.23
1349,29,Front/Back,180.0,153.42,173.61,168.47,121.64,119.94,121.64,146.52
1349,30,Front/Back,180.0,154.12,180.0,180.0,117.83,114.52,117.83,140.4
1349,31,Front/Back,180.0,160.46,180.0,180.0,104.66,123.89,104.66,143.43
1349,32,Front/Back,180.0,180.0,180.0,180.0,110.99,119.87,110.99,119.87
1349,33,Front/Back,180.0,168.42,180.0,180.0,109.1,127.61,109.1,139.2
1349,34,Front/Back,180.0,180.0,180.0,180.0,101.15,121.96,101.15,121.96
1349,35,Front/Back,180.0,180.0,180.0,180.0,101.15,116.28,101.15,116.28
1349,36,Front/Back,180.0,180.0,180.0,180.0,101.15,116.28,101.15,116.28
1349,37,Front/Back,180.0,180.0,180.0,180.0,101.15,116.28,101.15,116.28
1350,1,Side,,80.52,90.8,169.7,,146.82,,172.16
1350,2,Side,,79.37,89.29,166.86,,146.6,,172.41
1350,3,Side,,76.72,86.14,160.92,,145.09,,171.25
1350,4,Side,,75.81,83.3,156.75,,142.83,,167.88
1350,5,Side,,73.9,80.75,152.32,,142.81,,168.12
1350,6,Side,,71.75,146.59,146.59,,140.45,,164.74
1350,7,Side,,67.95,143.2,143.2,,146.69,,167.77
1350,8,Side,,63.66,135.45,135.45,,153.12,,170.91
1350,9,Side,,54.44,124.0,124.0,,179.4,,172.31
1350,10,Side,,50.08,115.93,115.93,,179.09,,174.87
1350,11,Side,,46.2,107.66,107.66,,176.11,,174.54
1350,12,Side,,45.78,105.77,105.77,,177.14,,174.41
1350,13,Side,,45.75,102.42,102.42,,178.15,,179.83
1350,14,Side,,41.1,92.01,92.01,,174.81,,179.67
1350,15,Side,,38.12,87.43,87.43,,174.67,,179.5
1350,16,Side,,33.93,83.14,83.14,,174.4,,179.48
1350,17,Side,,38.39,89.72,89.72,,175.1,,177.81
1350,18,Side,,41.0,87.66,87.66,,170.99,,176.16
1350,19,Side,,40.52,86.36,86.36,,171.19,,177.96
1350,20,Side,,41.93,85.77,85.77,,168.51,,176.54
1350,21,Side,,41.03,83.08,83.08,,165.41,,173.75
1350,22,Side,,44.17,88.77,88.77,,167.01,,175.08
1350,23,Side,,44.65,90.64,90.64,,167.81,,176.61
1350,24,Side,,46.71,93.67,93.67,,167.79,,178.04
1350,25,Side,,48.15,96.1,96.1,,167.56,,176.82
1350,26,Side,,48.5,97.27,97.27,,168.37,,178.36
1350,27,Side,,51.28,103.48,103.48,,170.81,,180.0
1350,28,Side,,53.03,105.43,105.43,,168.77,,178.78
1350,29,Side,,54.34,109.92,109.92,,169.2,,177.56
1350,30,Side,,56.35,113.8,113.8,,170.02,,179.25
1350,31,Side,,53.89,115.23,115.23,,168.81,,174.69
1350,32,Side,,55.77,121.18,121.18,,169.51,,174.24
1350,33,Side,,58.28,131.12,131.12,,179.01,,177.9
1350,34,Side,,53.81,130.45,130.45,,178.48,,179.44
1350,35,Side,,54.58,135.15,135.15,,175.87,,179.02
1350,36,Side,,54.24,66.61,136.47,,174.21,,177.5
1350,37,Side,,71.22,74.84,147.19,,158.68,,169.12
1350,38,Side,,78.02,81.24,160.46,,157.84,,170.3
1350,39,Side,,80.48,88.02,168.11,,157.23,,169.34
1350,40,Side,,83.57,94.85,176.13,,156.37,,169.95
1350,41,Side,,85.68,101.74,176.32,,156.35,,170.82
1350,42,Side,,85.68,101.74,176.32,,157.52,,173.28
1350,43,Side,,85.68,131.88,176.32,,158.71,,175.74
1351,1,Side,90.23,119.93,163.13,84.91,148.06,116.58,137.25,91.92
1351,2,Side,86.83,115.65,162.8,84.85,152.3,122.06,136.54,91.82
1351,3,Side,93.58,126.86,163.11,84.46,146.02,111.47,135.15,91.09
1351,4,Side,82.88,123.82,158.56,81.66,165.92,113.3,145.98,91.78
1351,5,Side,81.59,122.05,154.96,78.5,166.23,113.63,146.65,92.26
1351,6,Side,73.99,47.7,142.31,117.03,167.29,168.73,147.76,166.18
1351,7,Side,74.82,46.79,142.32,116.03,166.84,169.97,149.04,167.61
1351,8,Side,78.85,46.33,133.26,110.86,149.52,170.99,139.86,168.22
1351,9,Side,68.74,45.16,123.95,104.7,172.63,171.96,165.29,168.04
1351,10,Side,72.9,45.25,117.72,99.84,160.02,171.35,158.62,166.89
1351,11,Side,69.13,44.07,110.88,95.44,163.76,172.56,161.57,167.54
1351,12,Side,65.03,43.19,101.53,87.74,163.86,164.74,164.23,157.4
1351,13,Side,57.1,43.67,93.55,87.8,173.05,166.67,171.72,157.99
1351,14,Side,52.9,41.55,86.47,85.33,174.35,169.29,174.49,159.5
1351,15,Side,49.33,40.99,80.84,83.14,175.92,169.45,177.01,160.19
1351,16,Side,45.54,40.72,74.19,80.0,177.71,167.15,179.4,157.33
1351,17,Side,47.51,40.59,69.17,78.49,163.57,166.58,171.77,158.26
1351,18,Side,45.49,40.48,66.18,77.48,163.58,166.31,172.76,158.58
1351,19,Side,44.23,38.47,64.5,75.76,164.84,173.21,173.33,165.27
1351,20,Side,43.55,37.73,63.92,74.49,165.87,174.48,174.26,167.07
1351,21,Side,41.4,36.92,62.44,73.19,167.1,175.16,174.57,168.9
1351,22,Side,42.15,37.07,62.44,73.97,165.23,179.37,173.74,177.4
1351,23,Side,43.36,36.64,63.43,74.83,163.54,179.33,173.21,178.15
1351,24,Side,49.92,38.77,69.63,77.79,161.26,178.86,171.48,177.72
1351,25,Side,61.08,38.15,81.35,78.22,161.06,177.47,171.21,178.91
1351,26,Side,61.52,37.75,82.05,78.83,159.19,176.48,169.43,179.67
1351,27,Side,63.34,38.48,83.95,79.69,157.71,178.27,168.85,178.55
1351,28,Side,54.32,41.93,77.09,81.18,158.55,171.11,169.02,170.77
1351,29,Side,56.5,42.91,80.16,82.34,157.65,168.84,168.42,169.32
1351,30,Side,58.82,43.59,82.67,83.16,156.26,166.69,167.81,168.06
1351,31,Side,61.44,44.38,85.7,84.32,155.37,164.48,167.43,166.04
1351,32,Side,65.36,43.2,92.51,84.39,154.12,163.15,165.67,166.55
1351,33,Side,75.42,43.16,106.07,87.13,154.27,166.11,164.42,169.61
1351,34,Side,77.41,43.39,110.84,88.95,153.65,166.84,162.55,169.61
1351,35,Side,80.01,43.54,117.59,97.09,153.19,177.07,160.59,178.25
1351,36,Side,80.76,43.37,122.48,32.14,153.67,179.78,159.29,179.01
1351,37,Side,82.55,43.96,128.81,36.69,152.63,178.13,155.92,179.94
1351,38,Side,81.01,44.08,131.84,40.48,152.25,166.71,154.35,107.83
1351,39,Side,82.38,110.74,141.44,67.92,155.52,120.4,151.49,101.49
1351,40,Side,83.57,112.78,148.11,73.56,155.33,120.73,148.02,101.15
1351,41,Side,82.44,112.39,153.38,77.11,157.19,121.34,146.03,99.8
1351,42,Side,82.24,112.83,155.45,79.47,158.84,122.03,145.51,98.97
1351,43,Side,82.52,113.88,157.44,80.91,159.6,122.4,145.14,98.97
1351,44,Side,75.13,170.85,158.43,116.95,176.63,122.8,153.78,98.97
1352,1,Side,70.96,,155.47,155.47,158.19,,165.54,
1352,2,Side,70.42,,154.49,154.49,156.56,,163.82,
1352,3,Side,68.43,,152.33,152.33,156.39,,162.44,
1352,4,Side,67.57,,152.53,152.53,157.35,,163.59,
1352,5,Side,64.6,,146.85,146.85,157.22,,164.11,
1352,6,Side,62.02,,144.1,144.1,157.51,,163.68,
1352,7,Side,59.91,,142.15,142.15,160.8,,166.83,
1352,8,Side,55.91,,138.95,138.95,163.71,,168.37,
1352,9,Side,52.61,,135.43,135.43,165.49,,168.99,
1352,10,Side,39.51,,119.79,119.79,171.78,,172.26,
1352,11,Side,31.81,,112.85,112.85,178.25,,174.76,
1352,12,Side,25.63,,106.01,106.01,179.02,,175.78,
1352,13,Side,19.22,,99.81,99.81,179.33,,175.62,
1352,14,Side,6.71,,84.44,84.44,177.3,,174.67,
1352,15,Side,1.94,,74.98,74.98,176.93,,173.62,
1352,16,Side,4.56,,73.39,73.39,172.13,,167.24,
1352,17,Side,10.63,,67.22,67.22,172.77,,168.53,
1352,18,Side,14.35,,63.0,63.0,173.77,,169.92,
1352,19,Side,14.04,,62.41,62.41,172.7,,168.03,
1352,20,Side,16.15,,61.08,61.08,172.68,,167.73,
1352,21,Side,19.71,,59.91,59.91,178.67,,169.69,
1352,22,Side,23.45,,56.47,56.47,178.8,,171.77,
1352,23,Side,26.37,,52.29,52.29,179.78,,170.92,
1352,24,Side,28.05,,50.13,50.13,179.57,,171.68,
1352,25,Side,29.12,,49.06,49.06,178.87,,172.38,
1352,26,Side,30.44,,46.5,46.5,178.52,,174.47,
1352,27,Side,31.08,,47.73,47.73,176.1,,174.95,
1352,28,Side,29.4,,51.67,51.67,175.7,,174.24,
1352,29,Side,28.58,,53.38,53.38,176.26,,173.35,
1352,30,Side,25.39,,57.7,57.7,176.79,,173.96,
1352,31,Side,19.71,,63.32,63.32,176.31,,175.56,
1352,32,Side,21.55,,59.82,59.82,178.56,,176.07,
1352,33,Side,7.65,,75.82,75.82,177.02,,175.59,
1352,34,Side,4.27,,80.41,80.41,176.16,,177.59,
1352,35,Side,10.58,,100.21,100.21,175.7,,177.94,
1352,36,Side,13.67,,101.61,101.61,179.23,,177.22,
1352,37,Side,17.77,,107.7,107.7,177.02,,177.68,
1352,38,Side,25.8,,115.14,115.14,179.33,,176.01,
1352,39,Side,33.83,,124.88,124.88,177.29,,171.98,
1352,40,Side,41.79,,134.2,134.2,177.99,,172.32,
1352,41,Side,45.93,,141.73,141.73,179.65,,171.29,
1352,42,Side,46.22,,145.81,145.81,173.7,,173.67,
1352,43,Side,49.89,,150.71,150.71,176.59,,168.47,
1352,44,Side,51.55,,152.65,152.65,176.93,,168.08,
1352,45,Side,53.62,,155.56,155.56,176.31,,168.1,
1352,46,Side,56.39,,159.61,159.61,176.33,,169.02,
1353,1,Side,105.01,77.0,107.35,107.35,112.56,164.47,133.69,157.59
1353,2,Side,105.74,78.63,120.56,120.56,115.06,168.21,138.91,164.95
1353,3,Side,102.61,76.31,117.35,117.35,114.91,167.03,138.82,164.65
1353,4,Side,100.47,74.81,113.99,113.99,113.5,163.51,133.9,158.26
1353,5,Side,95.99,72.35,113.68,113.68,121.66,164.35,138.96,158.01
1353,6,Side,93.47,70.21,109.57,109.57,121.87,162.55,140.6,158.01
1353,7,Side,86.03,64.02,109.77,109.77,129.35,168.81,142.48,159.93
1353,8,Side,80.51,60.26,104.95,104.95,131.81,168.37,144.94,161.24
1353,9,Side,75.75,57.32,104.87,104.87,135.46,168.69,144.43,159.23
1353,10,Side,72.7,54.37,101.99,101.99,136.6,169.54,144.4,159.02
1353,11,Side,67.62,50.16,96.12,96.12,137.3,168.67,142.9,156.81
1353,12,Side,68.63,51.22,100.12,100.12,139.54,171.95,145.45,160.45
1353,13,Side,69.6,52.89,101.99,101.99,140.13,170.8,145.2,159.16
1353,14,Side,66.01,49.47,99.61,99.61,141.43,172.91,146.43,161.37
1353,15,Side,69.57,51.58,102.72,102.72,137.83,173.74,143.34,161.25
1353,16,Side,69.99,52.02,104.04,104.04,139.53,175.71,143.1,161.3
1353,17,Side,69.75,50.6,101.64,101.64,138.46,176.92,142.06,161.37
1353,18,Side,68.34,49.18,101.31,101.31,139.28,178.03,143.93,163.52
1353,19,Side,67.62,49.18,101.31,101.31,141.28,178.03,145.21,163.52
1353,20,Side,66.63,50.16,106.01,106.01,147.56,179.09,147.9,164.78
1353,21,Side,68.02,48.49,99.3,99.3,145.99,176.59,147.96,165.84
1353,22,Side,70.82,50.5,102.13,102.13,141.64,178.22,144.95,164.78
1353,23,Side,72.89,51.64,101.0,101.0,139.1,179.34,143.34,163.66
1353,24,Side,72.84,52.69,103.05,103.05,141.89,179.54,144.31,162.74
1353,25,Side,74.75,53.74,102.52,102.52,140.39,179.69,142.81,161.73
1353,26,Side,78.39,57.05,103.37,103.37,139.49,179.47,142.08,160.72
1353,27,Side,86.04,63.62,110.07,110.07,138.63,179.22,141.61,159.78
1353,28,Side,88.78,67.08,109.08,109.08,138.74,177.86,144.34,161.76
1353,29,Side,89.1,67.54,108.76,108.76,137.53,176.93,145.05,162.9
1353,30,Side,91.82,70.98,108.32,108.32,137.31,174.75,146.19,162.78
1353,31,Side,91.82,70.98,106.07,106.07,137.01,174.0,145.82,161.96
1353,32,Side,90.82,70.05,107.41,107.41,139.15,176.16,149.27,165.51
1353,33,Side,90.0,69.65,106.44,106.44,141.06,177.91,152.41,168.91
1353,34,Side,86.4,66.91,107.95,107.95,145.68,177.47,153.99,171.36
1353,35,Side,85.58,66.53,106.41,106.41,146.74,176.84,155.17,172.54
1353,36,Side,87.43,66.7,106.1,106.1,145.99,174.1,155.88,175.06
1353,37,Side,89.2,68.19,89.63,89.63,141.82,178.94,153.67,171.91
1353,38,Side,90.6,68.62,101.31,101.31,139.29,179.53,154.29,173.49
1353,39,Side,97.18,74.17,112.17,112.17,140.48,177.65,161.55,179.59
1353,40,Side,97.93,75.23,121.84,121.84,138.98,179.71,162.47,178.93
1353,41,Side,97.25,76.18,135.0,135.0,143.39,179.76,164.68,179.53
1354,1,Side,,68.44,100.41,100.41,,156.59,,
1354,2,Side,,67.92,114.08,114.08,,161.18,,
1354,3,Side,,70.52,117.68,117.68,,160.71,,
1354,4,Side,,70.45,118.69,118.69,,161.96,,
1354,5,Side,,68.22,124.43,124.43,,162.95,,
1354,6,Side,,66.79,138.16,138.16,,164.96,,
1354,7,Side,,61.44,153.95,153.95,,168.2,,
1354,8,Side,,57.51,160.35,160.35,,169.19,,
1354,9,Side,,55.26,163.12,163.12,,171.14,,
1354,10,Side,,51.15,173.97,173.97,,169.32,,
1354,11,Side,,40.45,174.37,174.37,,167.18,,
1354,12,Side,,31.86,164.98,164.98,,167.58,,
1354,13,Side,,27.06,161.59,161.59,,170.21,,
1354,14,Side,,25.66,162.21,162.21,,174.06,,
1354,15,Side,,26.58,162.73,162.73,,171.0,,
1354,16,Side,,36.75,167.02,167.02,,168.73,,
1354,17,Side,,41.45,179.29,179.29,,166.69,,
1354,18,Side,,48.6,170.93,170.93,,165.53,,
1354,19,Side,,54.54,161.8,161.8,,166.15,,
1354,20,Side,,57.77,155.77,155.77,,165.22,,
1354,21,Side,,59.73,152.1,152.1,,165.52,,
1354,22,Side,,70.83,131.63,131.63,,162.94,,
1354,23,Side,,68.67,132.74,132.74,,166.28,,
1354,24,Side,,72.38,130.63,130.63,,162.42,,
1354,25,Side,,75.87,128.48,128.48,,160.74,,
1354,26,Side,,76.39,131.52,131.52,,157.97,,
1354,27,Side,,75.79,131.34,131.34,,151.7,,
1354,28,Side,,75.21,131.0,131.0,,153.14,,
1354,29,Side,,76.0,130.81,130.81,,153.75,,
1354,30,Side,,79.16,127.13,127.13,,153.9,,
1355,1,Front/Back,180.0,180.0,146.98,180.0,,,,
