Sequence_ID,Frame,Pose,L_Shoulder_Angle,R_Shoulder_Angle,L_Elbow_Angle,R_Elbow_Angle,L_Hip_Angle,R_Hip_Angle,L_Knee_Angle,R_Knee_Angle
1659,1,Left/Right,,,,,,173.28,,175.75
1659,2,Left/Right,,,,,,175.53,,174.06
1659,3,Left/Right,,,,,,176.94,,173.09
1659,4,Left/Right,,,,,,175.86,,163.18
1659,5,Left/Right,,,,,,175.2,,162.21
1659,6,Left/Right,,,,,,171.47,,158.63
1659,7,Left/Right,,,,,,169.07,,155.1
1659,8,Left/Right,,,,,,165.3,,151.46
1659,9,Left/Right,,,,,,163.73,,150.34
1659,10,Left/Right,,,,,,160.34,,146.65
1659,11,Left/Right,,,,,,158.79,,147.61
1659,12,Left/Right,,,,,,155.8,,143.78
1659,13,Left/Right,,,,,,149.39,,138.46
1659,14,Left/Right,,,,,,155.19,,140.7
1659,15,Left/Right,,,,,,141.0,,128.22
1659,16,Left/Right,,,,,,130.6,,121.7
1659,17,Left/Right,,,,,,135.19,,119.98
1659,18,Left/Right,,,,,,125.54,,115.61
1659,19,Left/Right,,,,,,128.49,,115.02
1659,20,Left/Right,,,,,,121.55,,111.37
1659,21,Left/Right,,,,,,117.99,,108.81
1659,22,Left/Right,,,,,,109.11,,96.99
1659,23,Left/Right,,,,,,106.49,,95.42
1659,24,Left/Right,,,,,,103.9,,95.88
1659,25,Left/Right,,,,,,100.48,,93.55
1659,26,Left/Right,,,,,,96.91,,91.96
1659,27,Left/Right,,,,,,93.8,,87.64
1659,28,Left/Right,,,,,,88.49,,80.02
1659,29,Left/Right,,,,,,86.45,,75.08
1659,30,Left/Right,,,,,,89.84,,83.13
1659,31,Left/Right,,,,,,86.98,,79.49
1659,32,Left/Right,,,,,,83.88,,72.14
1659,33,Left/Right,,,,,,84.34,,70.8
1659,34,Left/Right,,,,,,84.06,,69.66
1659,35,Left/Right,,,,,,85.6,,69.1
1659,36,Left/Right,,,,,,83.89,,66.58
1659,37,Left/Right,,,,,,87.62,,69.64
1659,38,Left/Right,,,,,,82.01,,67.62
1659,39,Left/Right,,,,,,93.98,,76.4
1659,40,Left/Right,,,,,,89.42,,70.7
1659,41,Left/Right,,,,,,86.36,,64.99
1659,42,Left/Right,,,,,,91.58,,74.72
