Sequence_ID,Pose,L_Shoulder_Angle_max,L_Shoulder_Angle_min,L_Shoulder_Angle_avg,L_Shoulder_Angle_var,R_Shoulder_Angle_max,R_Shoulder_Angle_min,R_Shoulder_Angle_avg,R_Shoulder_Angle_var,L_Elbow_Angle_max,L_Elbow_Angle_min,L_Elbow_Angle_avg,L_Elbow_Angle_var,R_Elbow_Angle_max,R_Elbow_Angle_min,R_Elbow_Angle_avg,R_Elbow_Angle_var,L_Hip_Angle_max,L_Hip_Angle_min,L_Hip_Angle_avg,L_Hip_Angle_var,R_Hip_Angle_max,R_Hip_Angle_min,R_Hip_Angle_avg,R_Hip_Angle_var,L_Knee_Angle_max,L_Knee_Angle_min,L_Knee_Angle_avg,L_Knee_Angle_var,R_Knee_Angle_max,R_Knee_Angle_min,R_Knee_Angle_avg,R_Knee_Angle_var,Head_x_std,L_Sho_x_std,R_Sho_x_std,L_Elb_x_std,R_Elb_x_std,L_Wri_x_std,R_Wri_x_std,L_Hip_x_std,R_Hip_x_std,L_Kne_x_std,R_Kne_x_std,L_Ank_x_std,R_Ank_x_std,Head_y_std,L_Sho_y_std,R_Sho_y_std,L_Elb_y_std,R_Elb_y_std,L_Wri_y_std,R_Wri_y_std,L_Hip_y_std,R_Hip_y_std,L_Kne_y_std,R_Kne_y_std,L_Ank_y_std,R_Ank_y_std
1659,Left/Right,,,,,,,,,,,,,,,,,,,,,176.94,77.01,114.97538461538463,1170.7127047050042,,,,,175.75,64.99,106.91115384615385,1023.5961870052274,4.095347416236068,4.095347416236068,4.095347416236068,,,,,,9.510085660864435,6.24759710283664,5.307495707085592,0.6384597269279317,0.34727184995437355,25.65324454646317,25.653244546463174,25.653244546463174,,,,,,17.18184689289424,7.540981090403641,6.0971830527218325,0.47762917384433606,0.8524190186439454
1660,Left/Right,42.15,18.5,26.826999999999998,24.985818734177208,40.71,15.51,26.791000000000004,55.76345215189871,28.05,12.42,21.87675,13.248250063291147,48.09,18.25,29.902875,106.36263340189866,179.05,13.98,136.11825000000002,3190.6545893037955,175.29,5.29,138.334875,1542.4021645411406,180.0,0.25,140.119125,4510.529053655066,180.0,0.13,158.547,2244.6599250632908,1.2046127745257684,5.747244435985143,5.747244435985143,1.3209981072534056,1.4171674341976939,0.951732330934927,1.2915670493163565,1.4546437512456227,1.8098489705067424,1.2416928703094001,1.305888655187283,0.6797247766513067,0.0,35.98928268577398,34.898194561256105,34.898194561256105,37.32756512982757,37.30962324424108,37.6120144670821,37.30498903471732,25.02442711987327,24.033056805577104,3.276130907165672,3.966896481639551,0.1074430663188662,0.0
1661,Left/Right,,,,,70.79,62.77,68.03059405940594,2.115645643564364,,,,,,,,,,,,,168.49,66.44,109.6969306930693,937.3096934851488,,,,,178.91,42.85,93.81633663366337,1770.0883594455452,11.516645097337145,11.516645097337145,11.516645097337145,8.717836619548939,8.717836619548939,,,,11.301533583002044,20.774813634555077,21.413049721657547,2.416627119284944,0.43960772342515814,44.00085643337519,44.000856406793815,44.000856406793815,44.80616195840007,44.80616195840007,,,,43.78041900673347,8.110569577635319,7.6381951896277105,9.852999367433933,0.38503889478215064
1662,Front/Back,180.0,105.88,139.54825,568.639371582279,179.98,119.82,141.78575,62.11663234177219,,,,,,,,,180.0,110.96,138.86587500000002,569.8821334018986,179.98,94.32,141.276,241.88536101265788,180.0,144.89,164.00125,167.69625158227828,180.0,99.18,165.655125,479.5281113765823,1.411942591931914,2.300075672943352,1.7159780581937922,2.3468855607896435,2.3468855607896435,,,4.880939055153893,6.720902473871426,17.433671486613633,56.82843099734722,0.7356216694105494,0.7356216694105494,30.196298053556838,40.94252674713512,37.70827761844031,36.126749771473115,36.126749771473115,,,32.75211351161704,33.84759623030299,2.115858969122286,2.2484171647706646,0.0838525491562418,0.0838525491562418
1663,Left/Right,79.29,56.1,70.05556818181819,29.688576684953052,88.86,42.96,57.30613636363636,168.01289984326013,,,,,,,,,179.59,81.67,123.78079545454544,1073.5014487852663,165.76,85.44,131.54238636363635,699.3932275731448,175.93,71.9,113.8996590909091,1000.8342745950882,171.81,42.35,109.29943181818182,2307.30977783438,4.411277604263983,1.634272435973983,1.634272435973983,5.946485460221953,3.0280763436111946,,,7.312447250834554,4.411277604263983,6.766394232461695,14.302051856432183,2.6313319287835375,1.1802648339969735,18.68009696782308,19.221417020007994,19.221417020007994,23.184263142728177,21.782523216086606,,,15.831452687628706,18.680096967823058,3.134476227788405,3.400904159006252,1.373993290629887,2.0188182085684545
1664,Left/Right,,,,,,,,,,,,,,,,,178.79,82.92,122.6663440860215,984.8490843151023,,,,,175.62,50.94,96.01817204301076,1400.2996216222534,,,,,11.27116405703336,9.603577414614062,9.603577414614062,,,,,10.113705325633369,,19.97558144422995,19.420570028199382,10.078685433632995,8.204363448389373,44.363962882781294,48.320179560976904,48.320179560976904,,,,,36.97407501211358,,13.366270488958836,14.275800892833928,7.066950914745081,13.547747492916871
1665,Front/Back,180.0,98.63,140.87981651376145,520.6219147808346,180.0,135.93,152.74642201834862,75.49886393136269,180.0,109.89,147.05532110091744,359.81027883112387,180.0,154.17,169.4329357798165,118.13551167176269,180.0,108.4,150.25688073394497,257.9419327726811,180.0,62.53,107.51440366972477,950.7468767244303,180.0,122.39,168.24275229357798,180.00297198436968,180.0,45.24,102.26275229357798,1925.2732256880743,5.935403778079009,6.017219598979649,9.65783103526928,4.738919332401448,4.738919332401448,5.244643562971315,5.23397510624993,7.392346649801104,7.569992802477516,14.84943118519878,2.577939026205581,0.0,0.0,26.76097937276337,32.73880611378539,29.768811314548817,35.26369765650091,35.26369765650091,33.85783825067948,30.247015112364572,27.225324876756183,26.703834953490134,6.090619894277426,8.88831866162822,0.0,0.0
1666,Left/Right,112.99,91.26,101.41923076923077,31.297170829170913,81.01,56.16,65.14679487179487,35.92440647685648,59.27,34.68,49.56346153846154,24.274799550449547,169.23,29.15,69.43012820512821,1917.5463779054282,177.74,62.91,121.36166666666665,1425.136995887446,179.72,73.51,142.23615384615385,1220.5444083916072,171.5,69.88,126.80038461538462,1113.1848530969028,177.52,35.48,120.31051282051281,2261.1388646686664,2.676627666362208,2.227219845852277,2.227219845852277,1.474083046904386,14.070997682262144,1.5701622815523266,1.8830372197142307,6.305985513518357,2.7700426696367435,2.9758172426643106,3.750774145867298,0.0,0.29749831050822795,29.008057632189153,31.77324432121002,31.77324432121002,34.91395338341308,34.26971639127557,32.07491299608299,29.79118133801487,23.369931323389448,26.859110953023244,2.1672901521016263,1.5427232431628861,0.0,0.0
1667,Left/Right,69.67,29.71,53.696666666666665,86.31684529262093,,,,,,,,,,,,,158.77,68.87,108.7309090909091,705.6927594725884,,,,,178.31,71.82,118.90075757575757,1106.3782711774236,,,,,12.009814471932623,12.009814471932623,12.009814471932623,3.339035574898439,6.182477905335816,,,12.479714629671182,,16.175781037575053,18.822248036986892,6.067722994111994,6.067722994111994,32.56836897384086,32.56836897384086,32.56836897384086,45.57177910827041,43.074080233071165,,,33.447545503751655,,8.405620145753591,5.7276261518956035,30.219062003245615,30.219062003245615
1668,Front/Back,179.97,84.05,121.42672727272728,243.13132864053418,179.97,107.94,142.50263636363638,97.44187280233547,180.0,83.25,148.6178181818182,928.1761878565455,180.0,103.35,171.18463636363637,263.24843793995035,180.0,53.04,94.2109090909091,1354.2953129274395,179.99,73.72,106.61763636363636,975.2963686738941,179.99,63.45,112.01745454545454,1277.3929824520437,180.0,86.5,123.63663636363637,923.1392959216023,1.681984585007691,1.2020914980322273,1.1087511362948985,1.7434085582083356,1.4518662599210967,1.5845886450364026,1.2728307720308067,1.6614940648222485,2.0282781990629095,2.981330261844861,4.7215637442033405,0.34696886002183497,0.28079909875490383,20.679165830916677,22.120662855717352,21.3947975085715,25.443310693447227,26.127132801114804,23.586052337058348,23.749858170770057,16.539677644649146,18.02665641186664,2.041748900794346,2.228984474184385,2.338667763458474,0.21630859959456045
1669,Front/Back,180.0,107.42,134.50790697674418,255.72170615595095,180.0,124.65,144.85418604651161,203.586041094391,179.97,101.32,122.87441860465117,262.8109990697674,180.0,117.88,141.29790697674417,251.46316733242082,180.0,122.3,147.64058139534885,198.9856714227079,179.98,130.82,149.36709302325582,64.23470556771542,179.98,125.16,147.41976744186047,185.5629481805745,180.0,105.79,166.01639534883722,494.5288092065669,5.738794503281112,2.8238178263264624,3.0674716036824186,3.8713403000436104,3.8713403000436104,2.7689370167019636,2.7689370167019636,7.476593241229692,7.344990284105059,10.659706926670951,30.72130354021437,1.2020659312240838,1.6935968022499146,24.689680546270356,26.276246475902532,23.351146953449355,27.437912142068477,27.437912142068477,26.825898448247298,26.825898448247298,22.677678673746254,19.442733389066053,2.076131000455731,3.696833472240455,3.055911843494838,3.987241320291282
1670,Left/Right,,,,,136.41,68.2,101.36556818181818,342.1669950757574,,,,,,,,,,,,,171.44,73.15,122.15806818181818,1004.9698778343785,,,,,164.43,57.72,110.43295454545455,1202.7381658829675,16.307647325266338,17.491435992282046,17.491435992282046,4.520980349756461,4.57936800063789,,,,16.307647325266338,13.975305695368414,13.975305695368414,0.47878176126668764,0.47878176126668764,39.1634168208628,42.427927317483714,42.427927317483714,45.07171662471303,48.717329901777475,,,,39.163416820862835,7.754138595646944,7.754138595646944,0.8113613313631292,0.8113613313631292
1671,Left/Right,,,,,,,,,,,,,,,,,154.37,50.59,96.94028571428571,1249.0967448447202,178.8,71.84,121.48528571428571,1261.6761064389243,172.86,32.24,98.0747142857143,2772.4522948447216,172.42,65.75,114.51928571428572,1043.6228038302281,3.0337304119211472,2.291437552936199,2.291437552936199,,,,,2.8474437449659042,5.12259185272924,11.774537197816917,3.852170127781844,0.42691057461295123,0.6346994706255845,16.985087010414336,16.966271974540508,16.966271974540508,,,,,15.96817076627474,12.825951961779685,1.577921357795499,1.503453452092451,0.43582312213653457,0.40130983161687356
1672,Left/Right,77.94,54.77,67.28986842105263,29.82814531578945,,,,,102.5,18.53,34.80947368421052,429.63991438596497,102.5,18.53,34.80947368421052,429.63991438596497,152.38,62.69,103.68960526315789,891.6202651754388,,,,,175.53,65.42,107.37789473684211,1291.2229395087713,,,,,8.7265640210313,8.7265640210313,8.7265640210313,4.733374005613511,4.733374005613511,8.787463930529157,8.787463930529157,7.585161203516585,,11.033270280630255,10.011895711619793,4.110172239956062,2.970226469568647,29.191144486133993,29.191140327148894,29.191140327148894,36.68903530345367,36.68903530345367,29.150004411362545,29.150004411362545,24.927370449043742,,5.260114311795686,9.334027588843862,3.208185448548875,8.734581692069655
1673,Left/Right,76.37,54.42,63.06394736842105,18.52363221052632,,,,,,,,,,,,,159.83,70.58,110.22289473684211,723.7506448421055,,,,,177.87,55.42,110.49236842105263,1383.973519649123,,,,,9.124468261363603,9.124468261363603,9.124468261363603,4.755675279959778,6.724190422802207,,,10.247181897580683,,14.462620831501807,16.815344848334846,1.5266061429817162,2.6069492151797453,32.216002582077444,32.216002582077444,32.216002582077444,46.0169423176199,42.766505354811926,,,32.8178706131118,,5.942288235493461,7.965377382277976,1.7934915227302712,10.34095237648018
1674,Left/Right,,,,,,,,,,,,,,,,,177.04,64.13,110.02863157894735,1268.9066906606943,,,,,179.53,54.88,111.7997894736842,1431.9078574020152,,,,,7.191663006378499,7.191663006378499,7.191663006378499,,,,,8.280560317474414,,12.425334111063448,12.471734559953216,2.7586345154256384,2.9108679625899887,34.06682756291767,34.06682756291767,34.06682756291767,,,,,25.49856724780687,,5.168415037297265,11.3516127727294,3.1058455524614685,7.607090977942669
1675,Left/Right,,,,,,,,,,,,,,,,,176.79,67.66,103.09269503546099,844.9196341134756,,,,,179.95,71.39,105.44460992907801,608.7041307396148,,,,,4.084845314843698,2.5148910615913316,2.5148910615913316,,,,,7.513327823594641,,5.9245974431367125,14.128154488117765,0.06316139407998692,0.0,20.850351509140356,22.064459828828674,22.064459828828674,,,,,15.746755708702151,,1.2344088453864643,1.1682784856620485,0.06316139407998324,0.06316139407998324
1676,Front/Back,180.0,119.77,137.75772151898735,280.75939987017165,180.0,126.04,148.5254430379747,412.11708409607166,180.0,142.57,178.6281012658228,37.397223271665084,180.0,164.1,179.79822784810125,3.1999404089581183,180.0,68.2,110.3654430379747,1360.1016174294061,180.0,61.59,106.61227848101267,1849.9055049983779,180.0,87.97,117.9859493670886,763.005567997403,179.97,66.77,101.71063291139241,1096.8337983122356,1.1199863621834019,1.6397459934626992,1.1750446793110279,1.10986943640018,1.6946395001232755,1.0589741081045356,1.4973191749863672,1.5054357777344305,1.853820963983388,4.999646120096198,4.507119399217869,0.34361703063955445,0.0,25.006807253784174,24.252893478641596,23.886485868656397,28.002184857684952,26.472432515687515,26.641393638898105,26.267277570584643,14.452995026924198,15.461695918801782,3.3318956204893038,3.6455434356557794,0.0,0.0
1677,Front/Back,180.0,70.44,95.68119565217391,999.8806194338288,180.0,110.89,139.71663043478262,167.03710830148134,179.98,98.66,126.68065217391305,439.31558638318063,180.0,140.19,173.0770652173913,127.72973964405173,180.0,82.14,109.0741304347826,665.2784464882936,180.0,68.63,105.3520652173913,1229.417344039656,179.98,105.78,133.25565217391303,404.0888512183472,179.98,89.04,122.45358695652173,805.3110232560914,2.650411624924245,14.182290368279075,1.6086652338777705,1.2193248162508208,2.2187455285312154,1.9643109859860848,1.638337556304966,4.126492363032942,8.61605125058876,6.649500874642255,1.8761415856174855,0.6558888370957573,0.2755265997877758,29.04573343933916,28.52554133798864,31.399327903183202,31.00680991990086,33.139449657478835,29.766796104346298,30.821472441567693,20.4971284772455,21.8179968090792,2.622956919841517,2.8534318091911355,0.7904775359429421,0.30960835173171963
1678,Left/Right,,,,,68.12,45.01,56.62048780487805,32.84095778380012,29.87,15.33,20.891341463414633,9.911574721469448,10.05,0.0,2.9917073170731707,5.8225847034025895,,,,,171.25,28.27,91.89963414634146,1680.4630480126477,,,,,175.49,43.5,108.29707317073172,1378.6869592291482,3.1361957451475986,3.1361957451475986,3.1361957451475986,1.1499928622639763,2.2013554627846963,0.8081160853164409,1.430325466064929,,9.853152928106905,5.0292997954387175,4.383407349713962,0.20654788963733334,0.6950491901253031,28.92675952820797,28.92680974478242,28.92680974478242,27.52841848655901,30.836145689938956,27.861243635638743,30.072075776789887,,24.305510071347307,1.6431258513071787,3.751535592790589,0.6880866843320029,2.742218350218857
1679,Left/Right,93.57,63.4,78.54641791044776,61.89830818634105,118.56,87.03,105.98074626865672,50.6214857982814,48.97,25.38,34.550298507462685,43.36824233378562,42.31,7.55,23.557611940298507,70.48145481682496,179.34,40.56,123.72253731343284,2058.795628312981,178.3,62.06,115.05537313432836,1307.8891009950253,175.18,7.85,101.77985074626865,2888.9872378561745,178.43,59.64,111.3768656716418,1493.674521845318,4.508889196874113,4.58425878263433,4.58425878263433,4.34467486415958,3.0972964767596833,3.689838977854798,3.689838977854798,2.439690946331868,4.104447788616597,10.400857041909635,10.098365155805723,2.8852745724906814,1.1015614939763065,26.09644433112053,26.446734486237187,26.446734486237187,25.11335361413386,29.60167602272869,26.021949010782517,26.021949010782517,19.644907719450963,18.353530674598506,4.5501775086770335,4.279977457649969,7.695416639297349,0.3274877558208309
1680,Front/Back,180.0,117.56,137.20309278350516,312.25575491838504,180.0,73.6,108.04958762886598,371.81938524484536,180.0,156.47,178.16649484536083,27.46010216924407,180.0,108.67,151.98360824742267,482.1751649699315,179.98,64.21,100.3203092783505,819.9021488616836,179.99,49.15,91.72577319587629,1069.805326739692,,,,,,,,,6.754287632255839,4.634544508089854,15.88937523615036,6.342777235355603,5.724643164384634,4.84299366727829,7.835935611641649,7.472660201056595,8.937648368304432,10.14882637403972,6.132775840259668,,,39.20913640045576,39.9065490160834,38.144398970271695,50.19938091306917,51.43675156111639,44.0081794192052,46.07309496435995,22.43864417379164,24.45314968415583,4.917696541826425,6.556811721519906,,
1681,Front/Back,180.0,131.0,146.72182692307692,213.2474558532488,180.0,124.36,149.60817307692307,267.02099954256886,180.0,133.86,175.56346153846152,129.43107722180676,180.0,114.84,162.5008653846154,418.5069322535477,180.0,68.03,109.315,1197.3992970873785,180.0,68.57,109.56375,1250.481831432039,179.98,70.12,109.86240384615385,781.7798728061974,179.98,66.12,101.23865384615384,810.6492603061985,4.46184345871048,4.6550435348984305,5.231684149875965,4.492432023047496,5.4929850156360285,4.618856050725813,4.529629629028894,5.765046209268066,4.456090619063188,6.776987374860177,6.544156455178738,3.463020127257759,3.204607749628232,29.921494555671995,28.3000248557039,28.41434989683463,34.27795223573534,34.03038791812001,31.796494832677894,31.30910094670736,18.68134930351262,19.589880538928753,5.674895398160178,5.453842037545675,2.3126885911028974,0.47252262650756516
1682,Left/Right,,,,,,,,,,,,,,,,,,,,,179.8,71.2,117.39573033707865,1342.0829315628198,,,,,172.37,49.53,106.59662921348315,1452.8935521450464,9.367627335937595,9.367627335937595,9.367627335937595,,,,,,11.03175696090768,16.715756420596627,9.981243598365795,0.8749908798590864,1.0847630752933557,37.10511895315915,37.10511895315916,37.10511895315916,,,,,,32.05656394972038,12.66573933089828,8.85141345132587,0.8073691812874304,0.7187035058462135
1683,Left/Right,,,,,,,,,,,,,,,,,,,,,179.47,70.79,117.93632183908048,1321.0646584068434,,,,,177.08,66.66,111.62551724137931,1199.6282761828384,5.605261411672393,5.605261411672393,5.605261411672393,,,,,,11.489773092874437,5.335628016343453,6.748361595805805,0.1950417881324098,0.1950417881324098,32.24368655682319,32.24368655682319,32.24368655682319,,,,,,26.94627607492984,10.311525038630004,11.645424057076086,0.0804084401128323,0.0804084401128323
1684,Left/Right,74.1,52.68,63.00033333333333,27.43967785310733,71.19,54.09,63.025333333333336,22.62177785310725,11.29,0.06,4.406833333333334,9.635103361581923,24.54,0.08,17.585833333333333,40.53240437853106,179.41,55.47,123.092,1711.26884338983,179.56,58.21,114.33033333333333,1344.5108371751403,171.67,44.73,117.89183333333334,1626.7413372598878,168.55,27.9,95.10383333333333,1852.3800375988706,3.9103918476618174,3.9103918476618174,3.9103918476618174,0.8625337225864614,1.096874781825892,2.1859165326821817,6.891666342658461,4.9188520686686905,3.856346920821473,2.2978061703743067,7.690637328930615,0.2908201436149569,1.0378562128946744,21.472327219846445,21.472327219846445,21.472327219846445,24.601224078974173,23.38615650758921,22.59112290191015,22.278609939818182,17.118596593931482,19.23373763368894,3.8688723592544636,2.5672004886943562,0.2908201436149129,0.37433603555379213
1685,Left/Right,75.84,60.01,68.87925925925926,21.83400321453526,102.15,67.96,81.89833333333334,46.65448207547164,24.54,0.01,8.745000000000001,36.18183301886792,58.29,0.59,38.32296296296296,270.8637457721873,179.48,96.99,142.49851851851852,555.5991336128575,179.77,62.31,125.03148148148148,1609.1027524807826,,,,,,,,,3.419014763010764,4.575021050231659,4.575021050231659,2.209897689654935,3.2576711595321926,4.667670321093299,3.7851081920015663,6.166695523984832,8.553299223143613,12.377608358614564,22.250220831354138,,,35.37996803792762,41.14487032150648,41.14487032150648,37.51806692664146,46.80234936047952,36.91497806237885,34.17074967933537,26.678407399686495,33.26110941172501,4.526303280122512,8.65608857954071,,
1686,Left/Right,77.54,50.37,66.89384615384616,49.436571659918954,66.1,52.13,60.30538461538461,10.716988663967607,122.38,87.23,109.0825641025641,93.88188798920369,19.11,9.83,15.073076923076924,6.4170534412955345,179.84,132.45,161.8551282051282,184.21852564102613,177.44,124.18,156.49282051282051,242.72424183535728,177.13,132.03,158.22307692307692,142.74461133603228,179.1,58.35,113.7176923076923,1385.855723481781,1.3201950536784761,1.274556364828764,1.274556364828764,2.7733185079537317,1.309804200838597,2.2334071029369853,2.2334071029369853,4.080943419147501,3.5343886082331255,0.8098582871985351,6.804324803563429,1.456088015091214,0.4708077304254225,26.91807465096602,28.507869678445623,28.507869678445623,29.892481926205157,28.257182634603623,28.13291723921755,28.13291723921755,18.99407935666499,19.508756987319384,6.322854727323261,5.1096033660847375,1.315875503260449,0.9071242990500971
1687,Left/Right,,,,,82.82,57.92,70.86221238938053,42.56638524020226,37.92,13.21,25.421150442477877,51.84731741466499,36.08,5.25,19.249469026548674,60.85796400126426,,,,,176.29,62.58,112.75256637168141,1169.721058533502,,,,,178.24,60.86,113.43115044247787,1140.3155692003797,2.6776705185320107,2.6776705185320107,2.6776705185320107,1.231091179826568,0.8819762084306265,2.0540028678873736,4.071774762379382,,7.621063832435316,8.351561395911775,5.448127882506675,1.6057002058524537,0.13920546166103825,26.030439573143006,26.030439573143006,26.030439573143006,23.45550162025747,26.87454888193398,22.31609218765267,25.770619935285318,,19.876688291483298,3.9279446546331145,5.284267679474969,8.047306745717572,0.19641420473837504
1688,Left/Right,,,,,,,,,,,,,,,,,,,,,179.88,72.58,123.0322891566265,1366.1687203056124,,,,,175.48,68.17,118.41518072289155,1259.0151350279177,6.917753355668427,6.917753355668427,6.917753355668427,,,,,,13.743385928272376,8.348355484977622,8.824157333407268,0.0,0.7255795053416707,39.27002452111435,39.270024521114344,39.270024521114344,,,,,,31.24459606523117,9.292458408809768,8.12578462044827,0.0,0.08232319499226548
1689,Front/Back,,,,,,,,,,,,,,,,,179.98,68.94,117.70717647058824,722.0841752661064,180.0,75.93,121.43176470588236,650.1479028011208,179.98,112.6,131.39705882352942,311.4562424369747,179.98,87.78,131.03,857.1698785714289,0.8676613016919594,1.9516880218041475,1.7422547691633081,,,3.3608597339461475,3.3608597339461475,3.240175843345286,3.0800762568318376,10.12017859061207,37.21271892216197,0.36917748686331786,0.5239034165912492,36.505305675161416,36.681687065433444,37.78753629385838,,,51.49167041229815,51.49167041229815,35.21740402440942,36.10668278888007,2.7406832246385293,2.7144861159986498,0.418769205003018,0.22029392130679945
1690,Left/Right,,,,,95.31,48.69,75.08746478873239,114.21791834981519,,,,,,,,,,,,,157.06,60.03,99.3224647887324,809.6976002647084,,,,,179.39,49.76,97.21887323943662,1350.4865717710513,9.978875274953161,9.978875274953161,9.978875274953161,2.2710223091019324,2.2710223091019324,,,,9.969867697813061,8.341339925519874,8.341339925519874,2.233796917015242,2.233796917015242,26.270388396212635,26.270388396212624,26.270388396212624,34.670531115406845,34.670531115406845,,,,26.357444711961033,4.644569290979676,4.644569290979676,1.9630330235335476,1.9630330235335476
1691,Left/Right,,,,,132.75,71.95,90.89672413793105,98.21103644888098,,,,,,,,,,,,,173.39,74.48,114.14172413793104,1051.5240180278279,,,,,179.47,80.79,124.72724137931036,1180.0476027828197,7.219713556664865,7.219713556664865,7.219713556664865,4.735083680653899,5.1545943756571235,,,,8.381849739830761,16.689288139116098,11.756782762039686,0.3417582986918477,3.4314588466266107,25.66231544038746,25.66237028913983,25.66237028913983,27.132859147462348,31.60821679835017,,,,23.308386244544334,2.319652382913433,6.35475157530072,0.25415287566842076,1.4184965986647537
1692,Left/Right,,,,,108.1,56.13,71.97336,230.1015773290319,,,,,,,,,,,,,174.77,69.63,115.65608,697.462349832258,,,,,178.68,43.3,99.06696000000001,1210.4926455225814,6.650885218792188,6.650885218792188,6.650885218792188,3.6254554463609625,3.6254554463609625,,,,6.698746271721561,7.5305426484845865,7.7958441161859415,2.2939260611871353,0.9056275671171984,19.12436336701299,19.124363367012982,19.124363367012982,30.66778104345068,30.66778104345068,,,,18.99526299183647,3.003119346022009,3.662392792661896,3.760707294491099,0.2815280883253802
1693,Front/Back,180.0,147.74,166.95078651685395,118.62624823799825,180.0,142.75,176.62370786516854,61.62710768641459,180.0,158.51,178.55808988764045,16.402699719101044,180.0,126.4,167.9121348314607,141.65839425434123,179.98,97.66,123.00494382022472,361.2133275536257,179.98,94.54,123.20101123595505,364.36632055669054,179.98,115.69,131.7134831460674,141.8537070480082,179.98,105.29,121.1923595505618,186.22881141470899,3.331805099590143,3.627838980338368,2.3800498965271943,2.2603494472305603,3.249079964966066,2.81770314014003,2.579964480795316,5.872782921308004,2.4688818706068707,6.540999565871811,9.302120400456376,1.0990834217553886,1.1352563912173217,29.113185097871046,28.61092590043146,28.492167666582574,31.993836849715134,27.738408665746622,30.154763222433395,28.165536044620147,22.28989074675553,27.542223139296507,2.9137117892311886,1.9516928556535178,3.875143935216014,3.036703842872346
1694,Left/Right,63.12,40.87,55.79985294117647,22.437533311546854,97.21,73.3,83.51808823529413,41.10828076252724,,,,,,,,,143.34,35.29,82.92639705882353,1734.6186335893233,173.93,52.24,100.80088235294117,1523.3473577342052,179.89,26.87,92.50316176470588,3975.712199558823,179.99,57.96,102.09286764705882,1557.74905764161,4.773959182325484,4.751286590462229,4.751286590462229,3.497337923195245,3.436998626537927,,,2.6445164578540483,4.280541930139943,27.549255688141372,9.9368039896846,0.9287747568811504,1.418096884740181,30.360020614546478,32.441832845607756,32.441832845607756,31.703348851996246,33.55191141803879,,,29.13415929073161,24.003022047274808,4.518314446912313,2.9798341840957736,1.1394765740220563,0.6408289668124332
