Sequence_ID,Frame,Head_x,L_Sho_x,R_Sho_x,L_Elb_x,R_Elb_x,L_Wri_x,R_Wri_x,L_Hip_x,R_Hip_x,L_Kne_x,R_Kne_x,L_Ank_x,R_Ank_x,Head_y,L_Sho_y,R_Sho_y,L_Elb_y,R_Elb_y,L_Wri_y,R_Wri_y,L_Hip_y,R_Hip_y,L_Kne_y,R_Kne_y,L_Ank_y,R_Ank_y
1659,1,241.333,241.333,241.333,,,,,,236.0,238.0,238.0,250.667,243.333,79.333,94.533,94.533,,,,,,168.0,212.667,212.667,242.0,257.333
1659,2,241.333,241.333,241.333,,,,,,236.667,237.333,237.333,250.667,242.667,78.667,93.867,93.867,,,,,,168.0,212.0,212.0,242.0,256.667
1659,3,241.333,241.333,241.333,,,,,,237.333,237.333,237.333,250.667,242.667,78.667,93.867,93.867,,,,,,168.667,212.0,212.0,242.0,256.0
1659,4,241.333,241.333,241.333,,,,,,238.667,234.0,234.0,250.667,242.667,78.0,93.2,93.2,,,,,,169.333,212.667,212.667,242.0,258.667
1659,5,242.667,242.667,242.667,,,,,,239.333,234.0,234.0,250.667,242.667,72.667,87.867,87.867,,,,,,170.0,212.667,212.667,242.0,258.667
1659,6,242.667,242.667,242.667,,,,,,240.667,233.333,233.333,250.667,242.667,72.0,87.2,87.2,,,,,,170.667,212.667,212.667,242.0,258.667
1659,7,242.667,242.667,242.667,,,,,,241.333,232.667,232.667,250.667,243.333,72.667,87.867,87.867,,,,,,171.333,212.667,212.667,242.0,258.667
1659,8,242.667,242.667,242.667,,,,,,242.667,232.0,232.0,250.667,243.333,73.333,88.533,88.533,,,,,,172.0,212.667,212.667,242.0,258.667
1659,9,242.667,242.667,242.667,,,,,,243.333,232.0,232.0,250.667,243.333,73.333,88.533,88.533,,,,,,172.667,212.667,212.667,242.0,258.667
1659,10,243.333,243.333,243.333,,,,,,244.667,231.333,231.333,250.667,243.333,75.333,90.533,90.533,,,,,,172.667,212.0,212.0,242.0,258.0
1659,11,243.333,243.333,243.333,,,,,,246.0,232.667,232.667,250.667,243.333,77.333,92.533,92.533,,,,,,174.0,212.0,212.0,242.0,258.0
1659,12,243.333,243.333,243.333,,,,,,246.667,232.0,232.0,250.667,244.0,80.0,95.2,95.2,,,,,,174.667,211.333,211.333,242.0,258.0
1659,13,242.667,242.667,242.667,,,,,,248.667,230.667,230.667,250.667,243.333,83.333,98.533,98.533,,,,,,175.333,212.0,212.0,242.0,258.0
1659,14,242.0,242.0,242.0,,,,,,245.333,244.0,229.333,250.667,243.333,86.667,101.867,101.867,,,,,,173.333,215.333,212.667,242.0,258.0
1659,15,238.0,238.0,238.0,,,,,,247.333,244.0,225.333,250.0,243.333,93.333,108.533,108.533,,,,,,174.667,216.0,211.333,242.0,258.667
1659,16,238.667,238.667,238.667,,,,,,252.667,244.667,225.333,250.0,243.333,96.0,111.2,111.2,,,,,,176.0,213.333,212.0,241.333,258.667
1659,17,242.667,242.667,242.667,,,,,,250.667,225.333,225.333,250.0,243.333,95.333,110.533,110.533,,,,,,181.333,213.333,213.333,241.333,258.667
1659,18,237.333,237.333,237.333,,,,,,252.0,224.667,224.667,250.0,243.333,103.333,118.533,118.533,,,,,,183.333,214.0,214.0,241.333,258.667
1659,19,242.0,242.0,242.0,,,,,,253.333,225.333,225.333,250.0,243.333,104.0,119.2,119.2,,,,,,185.333,216.667,216.667,241.333,258.667
1659,20,239.333,239.333,239.333,,,,,,254.667,224.667,224.667,250.0,243.333,107.333,122.533,122.533,,,,,,186.667,216.667,216.667,241.333,259.333
1659,21,238.667,238.667,238.667,,,,,,256.0,224.667,224.667,250.0,243.333,109.333,124.533,124.533,,,,,,188.667,218.0,218.0,241.333,259.333
1659,22,238.667,238.667,238.667,,,,,,257.333,220.667,220.667,250.0,243.333,112.0,127.2,127.2,,,,,,191.333,217.333,217.333,241.333,259.333
1659,23,238.0,238.0,238.0,,,,,,258.0,220.667,220.667,250.0,243.333,114.667,129.867,129.867,,,,,,192.667,218.0,218.0,241.333,259.333
1659,24,237.333,237.333,237.333,,,,,,259.333,222.667,222.667,250.0,243.333,117.333,132.533,132.533,,,,,,195.333,219.333,219.333,241.333,259.333
1659,25,236.667,236.667,236.667,,,,,,260.0,222.667,222.667,250.0,243.333,120.667,135.867,135.867,,,,,,197.333,220.0,220.0,241.333,259.333
1659,26,236.0,236.0,236.0,,,,,,261.333,223.333,223.333,250.0,243.333,122.667,137.867,137.867,,,,,,199.333,220.667,220.667,241.333,259.333
1659,27,235.333,235.333,235.333,,,,,,261.333,222.0,222.0,250.0,243.333,125.333,140.533,140.533,,,,,,201.333,221.333,221.333,241.333,259.333
1659,28,235.333,235.333,235.333,,,,,,261.333,218.667,218.667,250.0,243.333,128.0,143.2,143.2,,,,,,202.667,220.0,220.0,241.333,259.333
1659,29,236.0,236.0,236.0,,,,,,260.667,216.667,216.667,250.0,243.333,130.667,145.867,145.867,,,,,,204.667,220.0,220.0,241.333,259.333
1659,30,236.0,236.0,236.0,,,,,,260.667,222.0,222.0,250.0,243.333,134.0,149.2,149.2,,,,,,206.0,222.667,222.667,241.333,259.333
1659,31,236.0,236.0,236.0,,,,,,260.667,221.333,221.333,250.0,243.333,136.0,151.2,151.2,,,,,,208.0,222.667,222.667,241.333,259.333
1659,32,236.0,236.0,236.0,,,,,,260.0,218.0,218.0,250.0,243.333,138.0,153.2,153.2,,,,,,210.0,222.667,222.667,241.333,259.333
1659,33,235.333,235.333,235.333,,,,,,258.667,218.0,218.0,250.0,243.333,139.333,154.533,154.533,,,,,,212.0,224.0,224.0,241.333,259.333
1659,34,235.333,235.333,235.333,,,,,,258.0,218.0,218.0,250.0,243.333,141.333,156.533,156.533,,,,,,213.333,224.667,224.667,241.333,259.333
1659,35,235.333,235.333,235.333,,,,,,256.667,218.455,218.455,250.0,243.333,143.333,158.533,158.533,,,,,,215.333,226.424,226.424,241.333,259.333
1659,36,234.667,234.667,234.667,,,,,,256.667,218.242,218.242,250.0,243.333,144.667,159.867,159.867,,,,,,217.333,227.515,227.515,241.333,259.333
1659,37,236.0,236.0,236.0,,,,,,256.667,220.03,220.03,250.0,243.333,147.333,162.533,162.533,,,,,,218.0,229.939,229.939,241.333,259.333
1659,38,234.667,234.667,234.667,,,,,,261.333,219.152,219.152,249.333,243.333,149.333,164.533,164.533,,,,,,217.333,231.697,231.697,241.333,259.333
1659,39,236.667,236.667,236.667,,,,,,255.333,221.606,221.606,249.333,243.333,148.667,163.867,163.867,,,,,,216.0,230.788,230.788,241.333,259.333
1659,40,233.333,233.333,233.333,,,,,,255.333,218.727,218.727,249.333,243.333,150.0,165.2,165.2,,,,,,216.667,231.879,231.879,241.333,259.333
1659,41,235.333,235.333,235.333,,,,,,255.333,221.182,221.182,249.333,243.333,152.0,167.2,167.2,,,,,,224.0,233.636,233.636,241.333,259.333
1659,42,235.333,235.333,235.333,,,,,,256.667,221.636,221.636,249.333,243.333,152.0,167.2,167.2,,,,,,217.333,233.394,233.394,242.0,259.333
1659,43,235.333,235.333,235.333,,,,,,254.667,222.091,222.091,249.333,243.333,152.667,167.867,167.867,,,,,,223.333,233.818,233.818,241.333,259.333
1659,44,235.333,235.333,235.333,,,,,,254.667,222.545,222.545,249.333,243.333,152.667,167.867,167.867,,,,,,222.0,233.576,233.576,241.333,259.333
1659,45,233.333,233.333,233.333,,,,,,254.667,221.0,221.0,249.333,243.333,151.333,166.533,166.533,,,,,,221.333,232.0,232.0,241.333,260.0
1659,46,234.667,234.667,234.667,,,,,,254.667,222.788,222.788,249.333,243.333,150.667,165.867,165.867,,,,,,220.0,231.091,231.091,241.333,260.0
1659,47,234.0,234.0,234.0,,,,,,254.667,222.576,222.576,249.333,243.333,148.667,163.867,163.867,,,,,,218.667,228.848,228.848,241.333,260.0
1659,48,234.0,234.0,234.0,,,,,,255.333,223.03,223.03,249.333,243.333,148.0,163.2,163.2,,,,,,218.0,227.939,227.939,241.333,260.0
1659,49,234.0,234.0,234.0,,,,,,255.333,223.485,223.485,249.333,243.333,147.333,162.533,162.533,,,,,,216.0,227.03,227.03,241.333,260.0
1659,50,232.667,232.667,232.667,,,,,,260.667,222.606,222.606,249.333,243.333,144.0,159.2,159.2,,,,,,213.333,223.455,223.455,241.333,260.0
1659,51,232.0,232.0,232.0,,,,,,261.333,222.394,222.394,249.333,243.333,143.333,158.533,158.533,,,,,,211.333,222.545,222.545,241.333,260.0
1659,52,232.0,232.0,232.0,,,,,,261.333,222.848,222.848,249.333,243.333,142.0,157.2,157.2,,,,,,208.667,220.97,220.97,241.333,260.0
1659,53,232.0,232.0,232.0,,,,,,256.0,223.303,223.303,249.333,243.333,140.667,155.867,155.867,,,,,,210.0,219.394,219.394,241.333,260.0
1659,54,234.0,234.0,234.0,,,,,,256.0,225.758,225.758,249.333,243.333,138.667,153.867,153.867,,,,,,208.667,217.152,217.152,241.333,260.0
1659,55,233.333,233.333,233.333,,,,,,256.667,225.545,225.545,249.333,243.333,138.0,153.2,153.2,,,,,,208.0,216.242,216.242,241.333,260.0
1659,56,232.667,232.667,232.667,,,,,,257.333,225.333,225.333,249.333,243.333,137.333,152.533,152.533,,,,,,207.333,215.333,215.333,241.333,260.0
1659,57,232.667,232.667,232.667,,,,,,258.0,225.333,225.333,249.333,242.667,136.0,151.2,151.2,,,,,,206.0,217.333,217.333,241.333,259.333
1659,58,232.667,232.667,232.667,,,,,,258.667,224.667,224.667,249.333,242.667,134.667,149.867,149.867,,,,,,204.667,214.667,214.667,241.333,259.333
1659,59,233.333,233.333,233.333,,,,,,260.0,226.0,226.0,249.333,242.667,134.667,149.867,149.867,,,,,,204.0,216.0,216.0,241.333,259.333
1659,60,232.0,232.0,232.0,,,,,,260.667,225.333,225.333,249.333,242.667,134.667,149.867,149.867,,,,,,202.667,214.0,214.0,240.667,260.0
1659,61,232.0,232.0,232.0,,,,,,262.0,226.667,226.667,249.333,242.667,130.667,145.867,145.867,,,,,,202.0,216.0,216.0,240.667,260.0
1659,62,232.667,232.667,232.667,,,,,,262.0,227.333,227.333,249.333,242.667,130.667,145.867,145.867,,,,,,200.667,216.0,216.0,240.667,260.0
1659,63,234.0,234.0,234.0,,,,,,262.667,228.0,228.0,249.333,242.667,130.0,145.2,145.2,,,,,,200.0,216.0,216.0,240.667,260.0
1659,64,233.333,233.333,233.333,,,,,,262.667,222.667,222.667,249.333,242.667,130.667,145.867,145.867,,,,,,199.333,214.0,214.0,240.667,260.0
1659,65,234.0,234.0,234.0,,,,,,263.333,228.667,228.667,249.333,242.667,128.667,143.867,143.867,,,,,,198.667,215.333,215.333,240.667,260.0
1659,66,234.0,234.0,234.0,,,,,,264.0,228.667,228.667,249.333,242.667,128.667,143.867,143.867,,,,,,198.0,215.333,215.333,240.667,260.0
